Gene,Correlation,P-value
lys20,-0.005415870609188574,1.0
aco2,0.0045536961016734365,0.000999000999000999
lys4,0.00792653605346856,0.000999000999000999
lys12,0.0024272717064874193,0.000999000999000999
aro8,0.00092311693604719,1.0
lys2,-0.0010309204787785683,1.0
lys9,0.010478034890162984,0.000999000999000999
lys1,-0.004864512471980693,1.0
